# Medieval and Renaissance
> Chant, polyphony, and early vocal music from Hildegard through Palestrina, Byrd, and the Renaissance madrigalists and motet composers.
Thomas Tallis | English Renaissance composer of Tudor sacred music, including the 40-voice motet Spem in Alium.
Wynton Marsalis | American trumpeter, composer, and bandleader who champions traditional jazz repertoire at Jazz at Lincoln Center.
Artie Shaw | American swing-era clarinetist and bandleader known for "Begin the Beguine."
Chick Corea | American jazz pianist known for the fusion group Return to Forever and long collaboration with Miles Davis.
jazz fusion | Genre blending jazz improvisation with rock and funk elements, pioneered by Miles Davis and Weather Report.
Jelly Roll Morton | Early New Orleans jazz pianist-composer who claimed, controversially, to have invented jazz.
New Orleans | American city considered the birthplace of jazz, home to early figures like Louis Armstrong and Jelly Roll Morton.
spirituals | African American religious folk songs that fed into gospel, blues, and jazz traditions.
Time Out | Dave Brubeck Quartet's album exploring unusual meters, home to the hit "Take Five."
William Grant Still | African American composer of the Afro-American Symphony, blending blues and jazz idioms into concert music.
"Birdland" = Birdland | Jazz fusion standard composed by Joe Zawinul for the band Weather Report.
Bill Evans | American jazz pianist known for impressionistic harmony, a key voice on Miles Davis's Kind of Blue.
Edward Kennedy "Duke" Ellington | Full name of the American jazz bandleader-composer known for orchestral big-band works.
Ella | Common first name referring to jazz vocalist Ella Fitzgerald, celebrated for scat singing.
Miles | Common first name referring to jazz trumpeter Miles Davis.
Miles Dewey Davis III | Full name of the American jazz trumpeter and bandleader behind Kind of Blue.
Sketches of Spain | Miles Davis and Gil Evans's orchestral jazz album drawing on Spanish and flamenco idioms.
Sonny Rollins | American jazz tenor saxophonist known for the album Saxophone Colossus and extended improvisations.
Stephen Foster | 19th-century American songwriter of parlor and minstrel songs like "Oh! Susanna," a forerunner of popular song.
Thelonious Sphere Monk | Full name of the American jazz pianist-composer known for angular melodies and dissonant harmony.
"'Round Midnight" | Jazz standard composed by Thelonious Monk, among the most recorded tunes in jazz history.
"Mood Indigo" | Duke Ellington's atmospheric jazz standard known for its unusual, blended orchestration.
An American in Paris | Gershwin's jazz-inflected orchestral tone poem evoking a visitor's stroll through Paris, with taxi horns.
bebop | Fast, harmonically complex jazz style pioneered by Charlie Parker and Dizzy Gillespie in the 1940s.
bossa nova | Brazilian genre blending samba rhythm with jazz harmony, popularized internationally in the 1960s.
Count Basie | American swing-era pianist and bandleader known for a tight, riff-based big-band sound.
Django Reinhardt | Romani-French jazz guitarist who pioneered "Gypsy jazz" despite an injured fretting hand.
Ella Fitzgerald | American jazz vocalist celebrated for scat singing and interpretations of the Great American Songbook.
Ferde Grofe | American composer-arranger who orchestrated Gershwin's Rhapsody in Blue and wrote the Grand Canyon Suite.
Frank Sinatra | American vocalist who rose through the big-band swing era into a defining solo popular-song career.
jazz guitar | Guitar style and repertoire developed within jazz, pioneered by players like Django Reinhardt.
Rodeo | Copland's ballet score depicting life on an American ranch, including the popular "Hoe-Down."
swing | Big-band jazz style and dance craze of the 1930s and 1940s, led by figures like Benny Goodman.
"My Favorite Things" | Rodgers and Hammerstein show tune transformed into a modal jazz standard by John Coltrane.
"Naima" | John Coltrane's tender jazz ballad named for his first wife.
"Swing Low, Sweet Chariot" | African American spiritual that fed into gospel and jazz vocal traditions.
"The Star-Spangled Banner" | The U.S. national anthem, famously reimagined by Jimi Hendrix and referenced in American concert works.
A Lincoln Portrait | Copland's narrated orchestral work honoring Abraham Lincoln, quoting Lincoln's own words.
Appalachian Spring | Copland's ballet score for Martha Graham depicting rural American life, built partly on the Shaker tune "Simple Gifts."
Art Blakey | American jazz drummer and bandleader of the Jazz Messengers, a hard bop cornerstone.
blues | African American musical form built on a repeating chord progression, foundational to jazz.
Brad Mehldau | Contemporary American jazz pianist known for reharmonizing pop songs within an improvisational style.
Broadway | New York theater district synonymous with American musical theater.
cakewalk | African American dance and music genre from the plantation era, a precursor to ragtime.
Cole Porter | American songwriter known for witty, sophisticated Broadway and Tin Pan Alley standards.
Coleman Hawkins | American jazz tenor saxophonist who helped establish the instrument's central role in jazz.
Eric Dolphy | American avant-garde jazz multi-instrumentalist known for adventurous harmonic and rhythmic exploration.
Fats Waller | American stride pianist and songwriter known for humor and virtuosic left-hand technique.
free jazz | Avant-garde jazz style abandoning fixed chord changes and meter, pioneered by Ornette Coleman.
Giant Steps | John Coltrane's landmark composition and album built on rapid, complex chord changes.
gospel music | African American sacred vocal genre that grew from spirituals, closely tied to blues and jazz.
hard bop | Jazz style blending bebop with blues and gospel influences, associated with Art Blakey's Jazz Messengers.
jazz piano | Piano style and tradition within jazz, spanning stride, bebop, and modern approaches.
John McLaughlin | British jazz fusion guitarist who led the Mahavishnu Orchestra.
Kamasi Washington | Contemporary American saxophonist blending jazz with soul, hip-hop, and orchestral scale.
Lester Young | American jazz tenor saxophonist nicknamed "Pres," known for a light, lyrical tone.
Max Roach | American jazz drummer central to the development of bebop.
Pete Seeger | American folk singer-songwriter and activist known for "If I Had a Hammer" and reviving traditional song.
Porgy and Bess | Gershwin's folk opera set in a Black community in Charleston, home to "Summertime."
Saxophone Colossus | Sonny Rollins's acclaimed jazz album showcasing extended tenor saxophone improvisation.
Sidney Bechet | New Orleans jazz clarinetist and soprano saxophonist, an early jazz virtuoso.
Sun Ra | American avant-garde jazz bandleader known for Afrofuturist mythology and cosmic stage performances.
tap dancing | American vernacular dance form using shoe percussion, closely tied to jazz rhythm and Broadway.
The Jazz Messengers | Art Blakey's long-running hard bop ensemble, a proving ground for generations of jazz musicians.
The Shape of Jazz to Come | Ornette Coleman's landmark album that helped launch free jazz.
tritone substitution | Jazz harmony technique replacing a chord with another a tritone away for smoother voice leading.
West Side Story | Bernstein's musical transplanting Romeo and Juliet to rival gangs in 1950s New York City.
Young People's Concerts | Leonard Bernstein's televised series introducing young audiences to classical music and the orchestra.

# Instruments, Forms, and Musical Institutions
> Individual instruments, generic musical forms and theory terms, and the orchestras, halls, cities, and performers tied to classical music life.
clarinet | Single-reed woodwind instrument; featured in Mozart's Clarinet Concerto, Copland's Clarinet Concerto, and klezmer and jazz.
trumpet | Brass instrument used in Baroque concertos and jazz; played by Louis Armstrong, Dizzy Gillespie, and Miles Davis.
flute | Transverse woodwind instrument central to orchestral and chamber writing since the Baroque, as in Bach's flute sonatas.
piano | Hammered keyboard instrument central to solo, chamber, and concerto repertoire since the Classical era.
cello | Bowed string instrument tuned below the viola; central to string quartets and concertos by Elgar and Dvorak.
harpsichord | Plucked-string keyboard instrument predating the piano; central to Baroque continuo playing and Scarlatti's sonatas.
viola | Bowed string instrument slightly larger than the violin, tuned a fifth lower; alto voice of the string family.
violin | Highest-pitched bowed string instrument; central to concertos by Beethoven, Brahms, Tchaikovsky, and Sibelius.
harp | Plucked string instrument with pedals for chromatic pitches; featured in orchestral, chamber, and Celtic traditions.
string quartet | Chamber ensemble of two violins, viola, and cello; also the genre pioneered by Haydn as a core Classical form.
oboe | Double-reed woodwind that tunes the orchestra; features in Baroque concertos and Tchaikovsky's ballets.
France | Common-link country for French musical traditions, from Lully and Rameau's Baroque opera to Debussy and Ravel's Impressionism.
guitar | Plucked string instrument, classical or electric; central to Spanish and Latin American music and jazz.
drums | Percussion instrument family central to jazz rhythm sections, also including orchestral timpani.
French horn | Coiled brass instrument with a mellow tone; prominent in Romantic symphonic writing, notably Brahms and Strauss.
Spain | Common-link country for Iberian composers like Falla and Albeniz and forms like flamenco and the fandango.
bassoon | Double-reed woodwind with a low range, providing the bass voice of the woodwind section.
etudes | Technical study pieces for solo instrument, most famously Chopin's piano etudes exploring specific difficulties.
pipe organ | Wind keyboard instrument played via pipes; central to church music and Bach's organ works.
timpani | Tuned kettle drums, standard percussion of the orchestra since the Baroque, capable of pitch changes via pedals.
Poland | Common-link country tied to Chopin's mazurkas and polonaises and 20th-century composers like Penderecki and Lutoslawski.
preludes | Short standalone pieces, often paired with fugues or collected in cycles like Chopin's and Debussy's Preludes.
waltzes | Triple-meter dance form popularized by the Strauss family and used by Chopin and Brahms in concert works.
Italy | Common-link country central to opera's birth and Baroque violin tradition, from Monteverdi and Vivaldi to Verdi and Puccini.
string quartets | Chamber genre for two violins, viola, and cello; a core medium for compositional development across nearly every era.
violin concerto | Concerto genre for solo violin and orchestra, with landmark examples by Beethoven, Brahms, Mendelssohn, Sibelius, and Berg.
Finland | Common-link country for Finnish nationalist music, chiefly associated with Jean Sibelius.
five | Common numeric answer, as in the Russian "Mighty Five" composer group or a work's fifth symphony/movement.
mass | Sacred choral setting of the Catholic liturgy's fixed texts, set by composers from Palestrina to Beethoven and Verdi.
piano concerto | Concerto genre for solo piano and orchestra, with landmark cycles by Mozart, Beethoven, Brahms, and Rachmaninoff.
saxophone | Single-reed brass-bodied woodwind invented by Adolphe Sax; central to jazz and occasionally orchestral color.
trombone | Slide brass instrument providing tenor-to-bass range in orchestras, brass bands, and jazz ensembles.
double bass | Largest and lowest-pitched bowed string instrument; anchors both orchestral bass lines and jazz rhythm sections.
England | Common-link country for English music, from Tudor polyphonists and Purcell to Elgar, Vaughan Williams, and Britten.
fugue | Contrapuntal form built on a subject imitated across voices, perfected by Bach in the Well-Tempered Clavier.
C major | Key signature with no sharps or flats, used for works including Mozart's "Jupiter" Symphony.
organ | Wind keyboard instrument central to church music, with a vast solo repertoire from Bach to Messiaen.
piano trio | Chamber genre for piano, violin, and cello, a staple form for Haydn, Beethoven, Brahms, and Mendelssohn.
United States of America | Common-link country for American concert music, jazz, and musical theater, from Ives and Copland to Ellington and Bernstein.
concerto grosso | Baroque form contrasting a small solo group against the full ensemble, associated with Corelli, Handel, and Vivaldi.
Franz | Common composer first name, shared by Schubert, Liszt, and Joseph Haydn among others.
Hungary | Common-link country for Hungarian music, associated with Liszt, Bartok, and Kodaly.
Mexico | Common-link country tied to composers such as Silvestre Revueltas and Carlos Chavez and mariachi tradition.
Venice | Italian city tied to Vivaldi's Ospedale della Pieta and the polychoral Gabrieli tradition at St. Mark's.
Argentina | Common-link country for tango and composers Astor Piazzolla and Alberto Ginastera.
China | Common-link country for instruments like the erhu and pipa and diaspora composers such as Tan Dun.
masses | Plural of the sacred choral mass setting, composed by figures from Palestrina to Bach and Beethoven.
minuet | Triple-meter Baroque and Classical dance form, often used as a symphony or suite movement.
motet | Sacred polyphonic vocal composition, a central Renaissance genre for composers like Josquin and Palestrina.
motets | Plural of the sacred polyphonic vocal genre central to Renaissance composers like Josquin and Palestrina.
Russia | Common-link country for Russian music, from the Mighty Five and Tchaikovsky to Stravinsky and Shostakovich.
symphony | Multi-movement orchestral genre established by Haydn and Mozart, expanded by Beethoven through Mahler and beyond.
three | Common numeric answer, as in a work's third symphony, movement, or opus number.
violoncello | Formal name for the cello, the bowed string instrument tuned below the viola.
Boston | American city home to the Boston Symphony Orchestra and the Boston Pops.
Brazil | Common-link country for Villa-Lobos and Brazilian popular forms like the choro and samba.
E-flat major | Key signature with three flats, used for works including Beethoven's "Eroica" Symphony.
G minor | Minor key used for works including Mozart's Symphony No. 40.
pizzicato | String-playing technique of plucking rather than bowing the strings.
rondo | Musical form alternating a recurring main theme with contrasting episodes, common as a finale movement.
Sergei | Common composer first name, shared by Prokofiev, Rachmaninoff, and Taneyev among others.
violin sonata | Chamber genre for violin and piano, with notable examples by Beethoven, Brahms, and Franck.
Japan | Common-link country for instruments like the koto and composers such as Toru Takemitsu.
lute | Plucked string instrument prominent in Renaissance and Baroque music, associated with composers like John Dowland.
polyphony | Musical texture combining multiple independent melodic lines, the defining technique of Renaissance vocal music.
Requiem Mass | Catholic mass for the dead, set memorably by Mozart, Verdi, Faure, and Brahms in his German version.
sonata form | Structural form with exposition, development, and recapitulation, the backbone of Classical-era first movements.
Symphony No. 3 | Common symphony-number answer across composers, including Khachaturian's, sometimes called the "Symphony-Poem."
toccata | Virtuosic keyboard or organ form showcasing technical display, as in Bach's Toccata and Fugue in D minor.
canon | Contrapuntal form in which voices imitate one another at a fixed interval, as in Pachelbel's famous example.
chaconne | Baroque variation form built over a repeating bass or harmonic pattern, related to the passacaglia.
John | Common composer first name, shared by John Adams, John Cage, and John Dowland among others.
London | English capital home to major orchestras and Haydn's late "London" symphonies.
piano concertos | Concerto genre for solo piano and orchestra, exemplified by Mozart's numbered cycle of 27 works.
piano sonata | Multi-movement solo piano genre developed across the Classical and Romantic eras.
piano sonatas | Plural of the solo piano genre, notably Beethoven's cycle of 32 spanning his entire career.
Scotland | Common-link country tied to works like Mendelssohn's "Scottish" Symphony and bagpipe traditions.
trains | Recurring musical subject, depicted in works like Honegger's Pacific 231 and Reich's Different Trains.
Arturo Toscanini | Italian conductor renowned for intensity and fidelity to the score, longtime NBC Symphony Orchestra director.
C minor | Minor key used for works including Beethoven's Fifth Symphony.
four | Common numeric answer, as in a work's fourth symphony, movement, or opus number.
Gamelan | Indonesian ensemble of tuned percussion, gongs, and metallophones that influenced Debussy's harmonic language.
passacaglia | Baroque variation form over a repeating bass line, closely related to the chaconne.
Vienna | Austrian capital and hub of the Classical era, home to Haydn, Mozart, Beethoven, and the Vienna Philharmonic.
A minor | Minor key used for works including Grieg's Piano Concerto.
alto saxophone | Mid-range member of the saxophone family, favored by jazz players like Charlie Parker.
classical guitar | Nylon-string acoustic guitar used in Spanish and Latin American concert repertoire, as by Segovia.
Glenn Gould | Canadian pianist celebrated for idiosyncratic, contrapuntally clear recordings of Bach's keyboard works.
Ireland | Common-link country tied to traditional music and composers of Irish descent.
nocturnes | Lyrical, dreamlike character piece form popularized by John Field and perfected by Chopin.
Ralph | Common composer first name, notably Ralph Vaughan Williams.
sarabande | Slow triple-meter Baroque dance form, a standard movement in instrumental suites.
six | Common numeric answer, as in a work's sixth symphony or the "Mighty Five" plus one.
tango | Argentine dance genre elevated to the concert hall by Astor Piazzolla's "nuevo tango."
waltz | Triple-meter dance form popularized by the Strauss family and used by Chopin and Brahms.
Alexander | Common composer first name, shared by Borodin, Scriabin, and Glazunov among others.
banjo | Plucked string instrument with a drum-like body, central to American folk, bluegrass, and early jazz.
Berlin | German capital home to the Berlin Philharmonic and a major center of musical life since the 18th century.
Christmas | Recurring musical subject, treated in works like Bach's Christmas Oratorio and countless carols.
film scores | Orchestral music composed for cinema, a genre spanning Bernard Herrmann to John Williams.
Leipzig | German city where Bach worked at the Thomaskirche and Mendelssohn led the Gewandhaus Orchestra.
Leopold Stokowski | Conductor famed for lush orchestral transcriptions and his collaboration with Disney on Fantasia.
Pablo Casals | Spanish cellist who rediscovered and popularized Bach's solo Cello Suites in performance.
Paris | French capital and major musical center, home to the Paris Opera and site of many premieres, including The Rite of Spring.
pianoforte | Early name for the piano, emphasizing its ability to play both soft and loud dynamics.
seven | Common numeric answer, as in a work's seventh symphony or movement count.
Te Deum | Latin hymn of praise set by many composers, including a famous festive setting by Charpentier.
throat singing | Vocal technique producing multiple simultaneous pitches, associated with Tuvan and Mongolian traditions.
two | Common numeric answer, as in a work's second symphony or movement count.
xylophone | Tuned percussion instrument with wooden bars, used for its bright, rattling timbre.
Czech Republic | Common-link country for Czech nationalist composers Dvorak, Smetana, and Janacek.
English horn | Alto member of the oboe family with a pear-shaped bell and mellow, melancholic tone.
Germany | Common-link country for the German-Austrian core canon, from Bach and Beethoven to Brahms and Wagner.
India | Common-link country for Hindustani and Carnatic classical traditions and instruments like the sitar and tabla.
Los Angeles | American city home to the Los Angeles Philharmonic and a major center of the film-scoring industry.
Mannheim | German city whose 18th-century court orchestra pioneered dynamic effects like the "Mannheim crescendo."
Nadia Boulanger | Influential French composition teacher whose pupils included Copland and many 20th-century composers.
Naples | Italian city whose conservatories shaped 18th-century opera and gave rise to the Neapolitan opera school.
oratorios | Large-scale sacred works for chorus, soloists, and orchestra performed without staging, as in Handel's and Mendelssohn's examples.
requiem | Mass for the dead set memorably by Mozart, Verdi, Faure, and Brahms in his German version.
rhapsody | Free-form, often folk-inflected genre, as in Gershwin's Rhapsody in Blue and Liszt's Hungarian Rhapsodies.
scordatura | Technique of tuning a string instrument away from standard pitch for special coloristic or technical effect.
South Africa | Common-link country occasionally tied to choral and folk musical traditions in quizbowl.
Symphony No. 5 | Common symphony-number answer across composers, most famously Beethoven's four-note "fate" motif work.
tritone | Dissonant interval spanning three whole tones, historically nicknamed "the devil in music."
tuba | Largest and lowest-pitched brass instrument, providing the bass foundation of the brass section.
Yo-Yo Ma | Renowned cellist known for a wide-ranging repertoire from Bach's suites to cross-cultural collaborations.
Adagio | Slow tempo marking, often naming a work's slow movement, as in Barber's Adagio for Strings.
Antonin | Common composer first name, notably Antonin Dvorak.
bass | Term for the lowest voice type or, as an instrument, the double bass or bass guitar.
Bela | Common composer first name, notably Bela Bartok.
blue | Recurring musical descriptor, as in "blue notes" and titles like Kind of Blue and Rhapsody in Blue.
cantus firmus | Preexisting melody used as the structural foundation for a polyphonic composition.
Carnatic music | South Indian classical music tradition distinct from the Hindustani music of the north.
Dies irae = "Dies Irae" | Medieval Latin sequence on Judgment Day, its chant melody quoted by Berlioz, Liszt, and Rachmaninoff.
drone | Sustained pitch underlying a melody, characteristic of bagpipes, Indian classical music, and minimalist works.
eight | Common numeric answer, as in a work's eighth symphony or movement count.
Frederic | Common composer first name, notably Frederic Chopin.
funeral march | Somber processional genre, as in the famous slow movement of Chopin's Piano Sonata No. 2 and Beethoven's Eroica.
gavotte | Moderate-tempo French Baroque dance form, often included as a movement in instrumental suites.
Gradus ad Parnassum | Title shared by Fux's counterpoint treatise and Clementi's piano studies, also parodied in a Debussy piano piece.
harmony | Combination of simultaneous pitches into chords, one of music theory's core organizing elements.
Heinrich Schenker | Austrian music theorist whose reductive analytical method traces tonal works to an underlying structural line.
Jascha Heifetz | Lithuanian-American violinist renowned for technical precision, among the 20th century's greatest virtuosos.
lullaby | Soothing song genre for children, set by composers including Brahms in his famous "Wiegenlied."
lutes | Plucked string instruments prominent in Renaissance and Baroque music, associated with composers like John Dowland.
mazurkas | Polish triple-meter dance form elevated to the concert repertoire by Chopin.
oratorio | Large-scale sacred work for chorus, soloists, and orchestra performed without staging, as in Handel's Messiah.
pentatonic scale | Five-note scale common to folk musics worldwide, from Chinese and Scottish traditions to the blues.
piano quintet | Chamber genre for piano and string quartet, notably essayed by Schumann, Brahms, and Dvorak.
piano trios | Chamber genre for piano, violin, and cello, a staple form for Haydn, Beethoven, and Brahms.
Rome | Italian city tied to the Roman School of Renaissance polyphony and Respighi's orchestral tone poems.
sitar | Long-necked plucked string instrument central to Hindustani classical music, popularized in the West by Ravi Shankar.
soprano | Highest standard voice type, typically the leading female role in opera.
string sextet | Chamber genre for six string players, notably used by Brahms and in Schoenberg's Transfigured Night.
sunrise | Recurring musical image, most famously the opening "Sunrise" fanfare of Strauss's Also sprach Zarathustra.
Switzerland | Common-link country occasionally tied to composers like Honegger and Frank Martin.
tenor | High male voice type, typically the leading male role in Italian opera.
tuning | Process of adjusting an instrument's pitch, related to systems like equal temperament and just intonation.
twelve | Common numeric answer, notably tied to the twelve-tone technique of the Second Viennese School.
violins | Plural of the highest-pitched bowed string instrument, forming the backbone of the orchestral string section.
Adams | Common composer surname, notably John Adams, the American post-minimalist composer of Nixon in China.
Ave Maria | Latin prayer set to music by many composers, notably Schubert and Gounod's version over a Bach prelude.
B minor | Key associated with works including Bach's Mass in B minor and Schubert's Unfinished Symphony.
birds | Recurring musical subject, transcribed into birdsong-based works by Messiaen and depicted in Vivaldi's Four Seasons.
bow | Stick strung with horsehair used to sound string instruments, drawn across the strings to produce tone.
cantata | Multi-movement vocal work with instrumental accompaniment, a genre Bach produced weekly for Leipzig services.
cantatas | Plural of the multi-movement vocal genre, most famously Bach's weekly cycle for Leipzig church services.
clapping | Body-percussion technique, notably the sole "instrument" in Steve Reich's Clapping Music.
counterpoint | Combination of independent melodic lines according to harmonic principles, central to Bach's fugal writing.
countertenor | Male voice type singing in the alto or soprano range, often used in Baroque opera and early music revival.
cymbals | Percussion instrument of paired metal plates, used for crashes and rolls in orchestral and jazz settings.
D major | Key associated with works including Beethoven's Violin Concerto and Mozart's Symphony No. 38.
D minor | Minor key associated with works including Mozart's Requiem and Bach's Toccata and Fugue.
Edvard | Common composer first name, notably Edvard Grieg.
fantasy | Free-form instrumental genre unbound by strict formal conventions, used by composers from Bach to Schubert.
gongs | Suspended metal percussion instruments producing sustained resonant tones, used in gamelan and orchestral color.
just intonation | Tuning system based on pure whole-number frequency ratios, contrasted with modern equal temperament.
modes | Scale patterns such as Dorian and Phrygian predating major-minor tonality, still used in folk and modal jazz.
Mstislav Rostropovich | Russian cellist and conductor who premiered numerous 20th-century works and championed Soviet dissident artists.
nine | Common numeric answer, notably tied to Beethoven's and Mahler's completed ninth symphonies.
pastorale | Musical genre evoking rural, shepherd-like calm, often in a lilting compound meter.
pavane | Slow, processional Renaissance dance form, often paired with a faster galliard.
percussion | Instrument family sounded by striking, shaking, or scraping, spanning timpani to drum kits.
Philadelphia Orchestra | American orchestra long noted for its lush "Philadelphia Sound" under conductors like Stokowski and Ormandy.
pipe organs | Wind keyboard instruments central to church music, with a vast solo repertoire from Bach to Messiaen.
polonaises | Polish processional dance form in triple meter, elevated to virtuosic concert works by Chopin.
prelude | Short introductory or standalone piece, often paired with a fugue or collected in cycles like Chopin's.
scherzo | Fast, playful triple-meter movement that replaced the minuet in Beethoven's symphonies and beyond.
synthesizer | Electronic instrument generating and shaping sound, popularized in classical music by Wendy Carlos.
synthesizers | Plural of the electronic sound-generating instrument popularized in classical crossover by Wendy Carlos.
theme and variations | Form presenting a melody followed by successive transformations, used from Haydn to Elgar's Enigma Variations.
viol | Family of bowed, fretted string instruments predating the violin family, prominent in Renaissance consort music.
violin concertos | Concerto genre for solo violin and orchestra, with landmark examples by Beethoven, Brahms, and Sibelius.
violin sonatas | Chamber genre for violin and piano, with notable examples by Beethoven, Brahms, and Franck.
Yuja Wang | Chinese-American concert pianist known for virtuosic technique and a wide-ranging modern repertoire.
5/4 | Unusual quintuple time signature, most famously used in Dave Brubeck's "Take Five."
A major | Key associated with works including Mendelssohn's "Italian" Symphony.
accordion | Bellows-driven free-reed instrument central to French musette, tango, and zydeco traditions.
Australia | Common-link country occasionally tied to composers such as Percy Grainger.
basso continuo | Baroque accompaniment practice using a bass line realized in improvised chords, typically on harpsichord.
bells | Tuned percussion instruments used for orchestral color, from tubular bells to carillon towers.
Boston Symphony Orchestra | American orchestra founded in 1881, home of the Tanglewood summer festival.
Boulanger | French surname shared by influential teacher Nadia Boulanger and her composer sister Lili.
cadenzas | Virtuosic unaccompanied passages near a concerto movement's end, often improvised or composer-written.
canons | Plural of the contrapuntal form in which voices imitate one another at a fixed interval.
Carnegie Hall | Prestigious New York City concert venue, a benchmark of performing success since 1891.
Claudio | Common name shared by composer Claudio Monteverdi and conductor Claudio Abbado.
concert band | Wind and percussion ensemble distinct from the orchestra, a staple of American school and military music.
concert harp | Large pedal harp used in orchestral and solo concert settings, capable of full chromatic range.
Czech | Common-link nationality tied to composers Dvorak, Smetana, and Janacek.
Daniel Barenboim | Argentine-Israeli pianist and conductor, co-founder of the West-Eastern Divan Orchestra.
Dmitri | Common composer first name, notably Dmitri Shostakovich.
E minor | Minor key associated with works including Dvorak's New World Symphony.
Erhu | Two-stringed bowed Chinese instrument with a plaintive, voice-like tone.
fandango | Lively triple-meter Spanish dance form often accompanied by castanets and guitar.
Federative Republic of Brazil | Full formal name of the country associated with Villa-Lobos and the choro and samba traditions.
flutes | Plural of the transverse woodwind instrument central to orchestral and chamber writing.
Hans von Bulow | German conductor-pianist linked to Wagner and Liszt, credited with coining "the three Bs" (Bach, Beethoven, Brahms).
idee fixe | Recurring musical theme representing a fixed idea, coined for Berlioz's Symphonie Fantastique.
Kingdom of Spain | Full formal name of the country associated with Falla, Albeniz, and Granados.
Kyrie eleison | Opening movement of the mass ordinary, its Greek text meaning "Lord, have mercy."
la folia | Early dance-and-chord pattern used as a variation theme by Corelli, Vivaldi, and Rachmaninoff.
Louis XIV | French "Sun King" whose patronage of Lully shaped the founding of French opera and ballet.
Madrid | Spanish capital and center of court musical life tied to composers like Scarlatti and Boccherini.
march | Steady, often duple-meter processional genre associated with military bands and composers like Sousa.
mariachi | Traditional Mexican ensemble genre featuring violins, trumpets, and guitars.
Martha Graham | American modern-dance choreographer who commissioned Copland's ballet score Appalachian Spring.
melisma | Vocal technique of singing multiple notes on a single syllable, common in chant and gospel.
New York City | American city home to Carnegie Hall, the Metropolitan Opera, and the New York Philharmonic.
Norway | Common-link country associated with Edvard Grieg's nationalist music.
opera | Staged dramatic genre combining sung text and orchestra, born in Italy around 1600 with Monteverdi.
piano four hands | Duet genre for two pianists at one keyboard, used by Schubert, Brahms, and Faure.
piccolo | Smallest and highest-pitched woodwind, essentially a miniature flute an octave higher.
prepared piano | Piano altered with objects placed on or between its strings to change its timbre, notably used by John Cage.
recorder | End-blown fipple flute common in Renaissance and Baroque consort music and music education.
Rubinstein | Surname shared by pianist Arthur Rubinstein and composer-pianist Anton Rubinstein.
serenade | Light, often multi-movement genre originally meant for outdoor evening performance, as in Mozart's Eine kleine Nachtmusik.
suites | Multi-movement instrumental collections, often based on dance forms, as in Bach's orchestral and cello suites.
suspensions | Harmonic technique delaying a chord tone's resolution to create tension, common in counterpoint.
Symphony No. 7 | Common symphony-number answer across composers, including Beethoven's rhythmically driven example.
tenor saxophone | Mid-low member of the saxophone family favored by jazz players like Coltrane and Rollins.
The BBC Proms | Long-running British summer concert series culminating in the flag-waving Last Night of the Proms.
The Tempest | Recurring Shakespearean subject for musical settings, including works by Sibelius and Tchaikovsky.
transverse flute | Flute held horizontally and blown across a side hole, the standard modern orchestral flute.
Turkey | Common-link country occasionally tied to Ottoman-influenced classical works and janissary-style percussion.
Venezuela | Common-link country tied to the El Sistema music education program and conductor Gustavo Dudamel.
Wilhelm Furtwangler | German conductor renowned for interpretations of Beethoven and Brahms with the Berlin Philharmonic.
"Arirang" | Traditional Korean folk song widely regarded as an unofficial national anthem.
"La Marseillaise" | French national anthem, quoted by composers including Tchaikovsky in the 1812 Overture.
12 | Common numeric answer, notably tied to the twelve pitches used in twelve-tone technique.
Alex Ross | Contemporary American music critic and author of The Rest Is Noise, a history of 20th-century music.
Amen | Liturgical closing word, frequently set as a musical cadence in sacred choral works.
angels | Recurring sacred musical subject, appearing in works ranging from oratorios to film scores.
Armenia | Common-link country associated with Soviet composer Aram Khachaturian.
augmented | Music theory term for an interval or chord widened by a half step, as in the augmented triad.
bagpipes | Reed instrument sounded by air from a bag, central to Scottish and other folk traditions.
barcarolle | Lilting, boat-song genre evoking Venetian gondoliers, used by Offenbach and Chopin.
Belgium | Common-link country associated with Cesar Franck and virtuoso violinist Eugene Ysaye.
Berlin Philharmonic | German orchestra long considered one of the world's finest, led by conductors including Karajan and Furtwangler.
C | Common pitch letter and key name, as in C major or Terry Riley's minimalist work In C.
C-sharp minor | Key associated with works including Rachmaninoff's popular early Prelude.
cadence | Harmonic formula marking the end of a phrase or section, such as the authentic or plagal cadence.
cadenza | Virtuosic unaccompanied passage near a concerto movement's end, often improvised or composer-written.
celesta | Bell-like keyboard percussion instrument famous from the "Dance of the Sugar Plum Fairy."
cello concerto | Concerto genre for solo cello and orchestra, with landmark examples by Elgar and Dvorak.
Charles | Common composer first name, shared by Charles Ives and Charles Gounod.
Chicago Symphony Orchestra | American orchestra renowned for its brass section, long associated with conductor Georg Solti.
Christmas carols | Traditional seasonal songs, some centuries old, arranged by countless classical composers.
chromatic | Music theory term for movement by half steps through all twelve pitches, used for color and tension.
Claude | Common composer first name, notably Claude Debussy.
conductor | Musician who directs an ensemble's tempo, dynamics, and interpretation using gesture and baton.
Czechia | Common-link country associated with Dvorak, Smetana, and Janacek.
danzon | Formal Cuban ballroom dance genre with roots in French contredanse.
didgeridoo | Long wooden drone instrument of Aboriginal Australian origin, played with circular breathing.
