# Old English & Anglo-Saxon Literature
> Alliterative verse and prose in the earliest form of English, running from Caedmon through the Norman Conquest of 1066.
Beowulf | Anonymous Old English epic of a Geatish hero who slays Grendel, Grendel's mother, and a dragon.
T. S. Eliot = T.S. Eliot | American-born modernist poet and critic naturalized British; The Waste Land, Four Quartets, "The Love Song of J. Alfred Prufrock."
Ulysses = "Ulysses" | James Joyce's modernist novel tracking Leopold Bloom through a single Dublin day, echoing Homer's Odyssey.
W. H. Auden | English-born modernist poet who emigrated to America; politically engaged verse of the 1930s.
Dylan Thomas | Welsh poet of lush, musical verse; "Do Not Go Gentle into That Good Night"; radio play Under Milk Wood.
Ford Madox Ford | Modernist novelist; The Good Soldier and the tetralogy Parade's End, featuring Christopher Tietjens.
W. Somerset Maugham | English novelist and playwright; Of Human Bondage, The Moon and Sixpence, drawing on his semi-autobiographical Philip Carey.
Katherine Mansfield | New Zealand-born modernist short-story writer; "The Garden Party," "The Dead" -- influenced by Chekhov.
Lady Chatterley's Lover | D. H. Lawrence's controversial novel of an affair between Lady Chatterley and gamekeeper Oliver Mellors.
Howards End | E. M. Forster's novel of class and connection ("only connect") among the Schlegels and Wilcoxes.
Finnegans Wake | James Joyce's final, densely punning novel, opening mid-sentence with "riverrun" and cycling back to its start.
Wilfred Owen | World War I trench poet; "Dulce et Decorum Est," killed in action a week before the Armistice.
"The Dead" | Closing story of Joyce's Dubliners, ending with Gabriel Conroy's epiphany as snow falls over Ireland.
Mrs. Dalloway | Virginia Woolf's stream-of-consciousness novel following Clarissa Dalloway through a single London day.
The Playboy of the Western World | J. M. Synge's Irish Literary Revival play whose hero Christy Mahon is lionized for supposedly killing his father.
W. B. Yeats | Abbreviated name of Irish Literary Revival poet William Butler Yeats.
A Room of One's Own = "A Room of One's Own" | Virginia Woolf's essay arguing a woman needs money and "a room of her own" to write fiction.
Aldous Huxley | Modernist novelist; Brave New World, a dystopia of engineered contentment and the drug soma.
Dubliners | James Joyce's short-story collection depicting paralysis and epiphany in early-20th-century Dublin life.
Robert Graves | War poet and memoirist; Good-bye to All That recounts his World War I experience; also wrote I, Claudius.
To the Lighthouse | Virginia Woolf's modernist novel centered on the Ramsay family's deferred visit to a Hebridean lighthouse.
David Herbert Lawrence | Full name of modernist novelist D. H. Lawrence.
Orlando: A Biography | Virginia Woolf's novel following a nobleman who lives centuries and changes sex to a woman partway through.
Thomas | Shorthand for Welsh modernist poet Dylan Thomas.
"The Waste Land" = The Waste Land | T. S. Eliot's fragmented modernist poem of postwar spiritual desolation, ending "Shantih shantih shantih."
Brave New World | Aldous Huxley's dystopia of engineered caste and the pacifying drug soma, with outsider John the Savage.
Edward Morgan Forster | Full name of novelist E. M. Forster.
John Millington Synge | Irish Literary Revival playwright; The Playboy of the Western World, Riders to the Sea.
Of Human Bondage | W. Somerset Maugham's semi-autobiographical novel of clubfooted Philip Carey's painful path to maturity.
Siegfried Sassoon | World War I poet of bitter anti-war satire; "Counter-Attack," friend of Wilfred Owen.
"The Open Window" | Saki's short story in which a girl's invented ghost story terrifies a nervous visitor into fleeing.
"The Rocking-Horse Winner" | D. H. Lawrence short story of a boy who predicts racehorse winners by riding his rocking horse into a frenzy.
A Portrait of the Artist as a Young Man | James Joyce's semi-autobiographical novel of Stephen Dedalus's coming of age and artistic awakening.
G. K. Chesterton | Edwardian essayist and novelist; the Father Brown mysteries, The Man Who Was Thursday.
Stephen Dedalus | James Joyce's autobiographical alter ego, protagonist of A Portrait of the Artist as a Young Man and a character in Ulysses.
William Somerset Maugham | Full name of novelist and playwright W. Somerset Maugham.
A Room with a View | E. M. Forster's novel of Lucy Honeychurch's awakening in Florence and choice between suitors.
Heart of Darkness | Joseph Conrad's novella of Marlow's journey up the Congo to find the ivory trader Kurtz.
Max Beerbohm | Edwardian essayist, caricaturist, and parodist; comic novel Zuleika Dobson, the immortal dandy Enoch Soames.
Riders to the Sea | J. M. Synge's one-act tragedy of an Aran Islands mother who loses her sons to the sea.
Sean O'Casey | Irish playwright of Dublin tenement life; Juno and the Paycock, The Plough and the Stars.
Sons and Lovers | D. H. Lawrence's semi-autobiographical novel of Paul Morel's stifling attachment to his mother.
The Good Soldier | Ford Madox Ford's unreliable-narrator novel unraveling the hidden affairs behind two "good" couples.
Thomas Stearns Eliot | Full name of modernist poet T. S. Eliot.
"Gerontion" | T. S. Eliot's dramatic monologue of an old man reflecting on history and spiritual emptiness.
Dylan Marlais Thomas | Full name of Welsh poet Dylan Thomas.
Gilbert Keith Chesterton | Full name of Edwardian essayist and novelist G. K. Chesterton.
Juno and the Paycock | Sean O'Casey's tragicomedy of a Dublin tenement family amid the Irish Civil War.
Lord Jim | Joseph Conrad's novel of a disgraced sailor seeking redemption after abandoning a sinking ship.
Orlando | Virginia Woolf's novel of a nobleman who lives for centuries and changes sex, dedicated to Vita Sackville-West.
Under Milk Wood | Dylan Thomas's radio play giving voice to the residents of a fictional Welsh fishing village over one day.
"Dulce et decorum est" | Wilfred Owen's World War I poem condemning the "old Lie" that dying for one's country is sweet and fitting.
"Fern Hill" | Dylan Thomas's nostalgic poem recalling an idyllic Welsh farm childhood before the shadow of mortality.
"The Circus Animals' Desertion" | Yeats's late poem admitting his poetic imagery must now begin "in the foul rag-and-bone shop of the heart."
"The Second Coming" | Yeats's apocalyptic poem declaring that "the centre cannot hold" as a "rough beast" slouches toward Bethlehem.
A Passage to India | E. M. Forster's novel of a fraught friendship strained by a disputed incident in the Marabar Caves.
Christopher Isherwood | Interwar novelist of Weimar Berlin; Goodbye to Berlin, source for the musical Cabaret.
Elizabeth Bowen | Anglo-Irish modernist novelist; The Death of the Heart, known for psychological precision.
H. G. Wells = H.G. Wells | Edwardian pioneer of science fiction; The Time Machine, The War of the Worlds, The Island of Doctor Moreau.
In Parenthesis | David Jones's modernist long poem blending prose and verse to depict World War I trench experience.
Peter Pan | J. M. Barrie's Edwardian play and novel of the boy who refuses to grow up, ruler of Neverland.
Rupert Brooke | World War I poet known for idealistic patriotism; "The Soldier," killed in 1915 before seeing major combat.
The Man Who Was Thursday | G. K. Chesterton's surreal thriller in which anarchist infiltrators turn out to be undercover detectives.
The Plough and the Stars | Sean O'Casey's play set among Dublin tenement dwellers during the 1916 Easter Rising.
Vita Sackville-West | Bloomsbury-adjacent writer and Virginia Woolf's lover, the inspiration for Woolf's Orlando.
"Ash Wednesday" | T. S. Eliot's poem of religious conversion and penitence, written after he joined the Anglican Church.
"Do Not Go Gentle Into That Good Night" | Dylan Thomas's villanelle urging his dying father to "rage against the dying of the light."
"Easter, 1916" | Yeats's poem on the Irish Easter Rising, repeating that a "terrible beauty is born."
"Sailing to Byzantium" | Yeats's poem of an aging man seeking artistic immortality in the Byzantine capital, "no country for old men."
"The Hollow Men" | T. S. Eliot's poem of spiritual emptiness ending "not with a bang but a whimper."
"The Interlopers" | Saki's short story of feuding landowners trapped under a fallen tree, ironically reconciled just before death.
Charles Marlow | Recurring narrator of Joseph Conrad's fiction, including Heart of Darkness and Lord Jim.
Enoch Soames | Failed, vain poet in Max Beerbohm's story who sells his soul to glimpse his posthumous (nonexistent) fame.
Ezra Pound | American-born poet central to London modernism; edited T. S. Eliot's The Waste Land; wrote the Cantos.
J. M. Barrie | Scottish-born Edwardian playwright and novelist; created Peter Pan, the boy who never grows up.
John Galsworthy | Edwardian-era novelist and Nobel laureate; The Forsyte Saga, chronicling an upper-middle-class family.
John the Savage | Outsider raised outside the World State in Huxley's Brave New World, ultimately destroyed by its values.
Maurice | E. M. Forster's novel of homosexual love in Edwardian England, published only after his death.
P. G. Wodehouse | Comic novelist creator of valet Jeeves and hapless Bertie Wooster.
The Moon and Sixpence | W. Somerset Maugham's novel loosely based on Gauguin, of a stockbroker who abandons his life to paint.
Wystan Hugh Auden | Full name of English-born modernist poet W. H. Auden.
"Odour of Chrysanthemums" | D. H. Lawrence short story of a miner's wife awaiting her husband, who is brought home dead from an accident.
"The Garden Party" | Title shared by Katherine Mansfield's story of a privileged girl confronting death nearby, and Vaclav Havel's Absurdist play.
Aldous Leonard Huxley | Full name of Brave New World author Aldous Huxley.
Bloomsbury Group | Circle of early-20th-century writers and artists including Virginia Woolf and Lytton Strachey.
Eminent Victorians | Lytton Strachey's irreverent group biography debunking four celebrated Victorian figures.
Four Quartets | T. S. Eliot's four-part meditative poem sequence on time, memory, and spiritual renewal.
Good-bye to All That | Robert Graves's memoir of his World War I trench experience and disillusioned break from English society.
Judith Shakespeare | Virginia Woolf's imagined sister of Shakespeare in A Room of One's Own, invented to illustrate women's thwarted genius.
Louis MacNeice | Anglo-Irish poet associated with Auden's 1930s circle, known for urbane, socially engaged verse.
Lytton Strachey | Bloomsbury Group biographer; Eminent Victorians, known for witty debunking of Victorian icons.
Nostromo | Joseph Conrad's novel of political corruption and a stolen silver hoard in a fictional South American country.
Parade's End | Ford Madox Ford's tetralogy following Christopher Tietjens through the collapse of Edwardian order and World War I.
Philip Carey | Clubfooted protagonist of Maugham's semi-autobiographical novel Of Human Bondage.
riverrun | Opening word of James Joyce's Finnegans Wake, whose final sentence loops back to complete it.
soma | Pacifying, pleasure-inducing drug distributed to citizens in Huxley's Brave New World.
stream of consciousness | Narrative technique rendering a character's unfiltered inner thought, pioneered by Woolf and Joyce.
Where Angels Fear to Tread | E. M. Forster's first novel, of an Englishwoman's scandalous remarriage in Italy and its tragic aftermath.
Zuleika Dobson | Max Beerbohm's comic novel of an irresistible beauty whose Oxford visit causes mass undergraduate suicide.
"Among School Children" | Yeats's poem, written while touring a schoolroom, asking "how can we know the dancer from the dance?"
"And death shall have no dominion" | Dylan Thomas's poem defiantly asserting that death holds no ultimate power over the dead.
"Burnt Norton" | First poem of T. S. Eliot's Four Quartets, meditating on time and a rose garden.
"Counter-Attack" | Siegfried Sassoon's World War I poem depicting the brutal chaos of trench combat.
"Lapis Lazuli" | Yeats's poem finding tragic joy and artistic gaiety in a carved lapis lazuli scene amid world catastrophe.
"Leda and the Swan" | Yeats's sonnet on Zeus's rape of Leda in swan form, framed as setting history's violence in motion.
"Oxen of the Sun" | Episode of Joyce's Ulysses parodying the history of English prose style, set in a maternity hospital.
"Portrait of a Lady" | T. S. Eliot's early poem depicting a stifling, one-sided drawing-room relationship.
"Sredni Vashtar" | Saki's dark short story of a sickly boy who worships a ferret as a vengeful god against his guardian.
"The Highwayman" | Alfred Noyes's narrative poem of a doomed romance between a highwayman and an innkeeper's daughter.
"The Love Song of J. Alfred Prufrock" | T. S. Eliot's poem of a hesitant, self-doubting speaker who dares not "disturb the universe."
"The Secret Sharer" | Joseph Conrad's novella of a young ship captain secretly harboring a fugitive who resembles his double.
"There must be more money" | Recurring, house-haunting refrain in D. H. Lawrence's "The Rocking-Horse Winner."
Arnold Bennett | Edwardian novelist; The Old Wives' Tale, chronicling provincial Staffordshire life.
ashbins | Urban squalor imagery characteristic of T. S. Eliot's early modernist poetry.
Basil Bunting | Modernist poet; Briggflatts, an autobiographical long poem rooted in Northumbrian landscape and dialect.
Bertie Wooster | Amiable, dim aristocrat served by the resourceful valet Jeeves in P. G. Wodehouse's stories.
Byzantium | Ancient city Yeats imagines as an eternal artistic refuge in "Sailing to Byzantium."
Christopher Tietjens | Ford Madox Ford's protagonist in Parade's End, an old-fashioned gentleman undone by war and infidelity.
Crome Yellow | Aldous Huxley's debut novel, a satirical country-house comedy of intellectual pretension.
dulce et decorum est pro patria mori | Latin tag, "sweet and fitting to die for one's country," bitterly condemned as "the old Lie" in Wilfred Owen's poem.
Father Brown | G. K. Chesterton's unassuming priest-detective who solves crimes through moral insight.
Herbert George Wells | Full name of science-fiction pioneer H. G. Wells.
Hugh Selwyn Mauberley | Ezra Pound's poem sequence reflecting on art, war, and his own poetic career.
I, Claudius | Robert Graves's historical novel narrated by the unassuming Roman emperor Claudius.
J. Alfred Prufrock | Hesitant, self-doubting speaker of T. S. Eliot's "The Love Song of J. Alfred Prufrock."
James Augustine Aloysius Joyce | Full name of Irish modernist novelist James Joyce.
Jeeves | Unflappable, resourceful valet who repeatedly extracts Bertie Wooster from trouble in P. G. Wodehouse's stories.
Maud Gonne | Irish revolutionary and actress, Yeats's great unrequited love and muse for much of his poetry.
Molly Bloom | Leopold Bloom's wife in Joyce's Ulysses, whose unpunctuated interior monologue closes the novel.
Siegfried Loraine Sassoon | Full name of World War I poet Siegfried Sassoon.
the Island of Doctor Moreau | H. G. Wells's novel of a scientist who surgically transforms animals into grotesque human-like beings.
The Time Machine | H. G. Wells's novella of a time traveler encountering the far-future Eloi and predatory Morlocks.
Under Western Eyes | Joseph Conrad's novel of a Russian student's betrayal and moral reckoning set partly in Geneva.
villanelle | Nineteen-line poetic form with repeating refrains, used by Dylan Thomas in "Do Not Go Gentle into That Good Night."
Wilfred Edward Salter Owen | Full name of World War I trench poet Wilfred Owen.

# Mid-20th-Century Fiction, Poetry & Theatre
> Postwar writing spanning dystopian satire, the Movement, Absurdist and kitchen-sink drama, and Catholic novelists.
George Bernard Shaw | Irish-born Fabian socialist playwright; Pygmalion, Major Barbara, Saint Joan; witty prose prefaces on social reform.
Harold Pinter | English playwright of the Theatre of the Absurd and "comedy of menace"; The Birthday Party, The Homecoming, Betrayal.
Philip Larkin | Poet of The Movement known for plain-spoken melancholy; "This Be The Verse," "An Arundel Tomb," The Whitsun Weddings.
Graham Greene | Catholic novelist of moral ambiguity and espionage; The Power and the Glory, The Heart of the Matter, The Quiet American.
Tom Stoppard | Playwright of witty, intellectual drama; Rosencrantz and Guildenstern Are Dead, Arcadia, Travesties.
Evelyn Waugh | Satirical Catholic novelist; Brideshead Revisited, Vile Bodies, Scoop, A Handful of Dust.
George Orwell | Political novelist and essayist; Nineteen Eighty-Four, Animal Farm, "Politics and the English Language."
Look Back in Anger | John Osborne's 1956 play that launched the "Angry Young Men" and kitchen-sink realism, led by antihero Jimmy Porter.
Samuel Beckett | Irish absurdist playwright and novelist; Waiting for Godot, Endgame, the trilogy Molloy/Malone Dies/The Unnamable.
The Birthday Party | Harold Pinter's 1957 "comedy of menace" set in a seaside boarding house, with intruders Goldberg and McCann.
Arcadia | Tom Stoppard's play interleaving 1809 and modern-day scholars at an English country house, exploring chaos and thermodynamics.
Noel Coward | English playwright and wit of drawing-room comedy; Private Lives, Blithe Spirit, Hay Fever.
Agatha Christie | Best-selling mystery novelist; creator of Hercule Poirot and Miss Marple; Murder on the Orient Express.
Daphne du Maurier | 20th-century Gothic novelist; Rebecca, with its unnamed narrator and sinister Manderley; "The Birds."
Blithe Spirit | Noel Coward's comedy in which a novelist's seance summons his dead first wife's ghost to haunt his second marriage.
Anthony Burgess | English novelist; A Clockwork Orange, narrated in the invented slang Nadsat by delinquent Alex.
Pygmalion | George Bernard Shaw's play in which phonetician Henry Higgins transforms flower girl Eliza Doolittle; basis for My Fair Lady.
Brideshead Revisited | Evelyn Waugh's novel of Charles Ryder's entanglement with the aristocratic Catholic Flyte family and their estate.
Lucky Jim | Kingsley Amis's Movement-era campus novel satirizing academic pretension through hapless lecturer Jim Dixon.
Iris Murdoch | Irish-born philosopher-novelist; The Sea, The Sea, exploring morality and obsession.
Arms and the Man | George Bernard Shaw's anti-romantic comedy about war, deflating heroic notions of soldiering and love.
Kingsley Amis | Movement-era novelist; Lucky Jim, a satire of provincial academic life; father of Martin Amis.
Rebecca | Daphne du Maurier's Gothic novel narrated by a nameless bride haunted by her husband's dead first wife.
Endgame | Samuel Beckett's bleak absurdist play of Hamm and Clov confined together as the world seems to end.
Flann O'Brien | Pen name of Irish comic novelist Brian O'Nolan; At Swim-Two-Birds, The Third Policeman.
Ted Hughes | Poet Laureate known for raw nature poetry; married to Sylvia Plath, whose posthumous Ariel he edited.
The Dumb Waiter | Harold Pinter's tense one-act about two hitmen awaiting orders via a dumbwaiter in a basement room.
The Prime of Miss Jean Brodie | Muriel Spark's novel of a charismatic, manipulative Edinburgh schoolteacher and her devoted students.
Waiting for Godot | Samuel Beckett's absurdist play in which Vladimir and Estragon wait futilely for a figure who never arrives.
A Clockwork Orange | Anthony Burgess's novel of ultraviolent delinquent Alex, narrated in the invented slang Nadsat.
Angry Young Men | Postwar British writers, including John Osborne and Alan Sillitoe, known for working-class, disaffected protagonists.
Roald Dahl | British children's author and short-story writer; Charlie and the Chocolate Factory, Matilda, dark adult tales.
Rosencrantz and Guildenstern Are Dead | Tom Stoppard's absurdist play retelling Hamlet from the perspective of its two minor courtiers.
Betrayal | Harold Pinter's play depicting an affair's aftermath told in reverse chronological order.
Doris Lessing | Nobel laureate novelist; The Golden Notebook, exploring feminism, politics, and fragmented identity.
Geoffrey Hill | Postwar English poet known for dense, allusive verse on history, violence, and faith.
J. R. R. Tolkien = J.R.R. Tolkien | Oxford philologist and fantasy author; The Hobbit and The Lord of the Rings, set in Middle-earth.
The Homecoming | Harold Pinter's play of a man returning home with his wife to his menacing, all-male London family.
"An Arundel Tomb" | Philip Larkin's poem on a stone effigy, closing with "What will survive of us is love."
A Dance to the Music of Time | Anthony Powell's twelve-novel sequence tracing English society across the 20th century.
A Man For All Seasons | Robert Bolt's play dramatizing Sir Thomas More's principled refusal to endorse Henry VIII's divorce.
Alan Ayckbourn | Prolific English playwright of suburban comedies, often using interlocking or experimental structures.
Alan Sillitoe | Angry Young Men-era novelist; Saturday Night and Sunday Morning, The Loneliness of the Long-Distance Runner.
Eliza Doolittle | Cockney flower girl transformed by phonetician Henry Higgins in Shaw's Pygmalion.
Our Man in Havana | Graham Greene's satirical spy novel of a vacuum-cleaner salesman who fabricates intelligence reports.
Private Lives | Noel Coward's comedy of a divorced couple who rekindle their volatile passion on neighboring honeymoons.
The End of the Affair | Graham Greene's novel of a wartime love affair ended by a vow to God, narrated by jealous novelist Bendrix.
Travesties | Tom Stoppard's play imagining Joyce, Tristan Tzara, and Lenin crossing paths in wartime Zurich.
"This Be The Verse" | Philip Larkin's blunt poem opening "They fuck you up, your mum and dad."
C. S. Lewis | Oxford Inkling and Christian apologist; The Chronicles of Narnia, The Screwtape Letters.
Clive Staples Lewis | Full name of Oxford Inkling and Narnia author C. S. Lewis.
James Bond | Ian Fleming's suave British secret agent, 007, hero of a Cold War-era spy novel series.
Mrs. Warren's Profession | George Bernard Shaw's play confronting a mother's past as a brothel owner and her daughter's judgment of her.
Muriel Spark | Scottish Catholic novelist; The Prime of Miss Jean Brodie, known for spare, ironic prose.
Vile Bodies | Evelyn Waugh's satire of London's frivolous "Bright Young Things" between the wars.
"Politics and the English Language" | George Orwell's essay condemning vague, euphemistic prose as a tool of political deception.
comedy of menace | Term for Harold Pinter's brand of drama, where ordinary dialogue conceals underlying threat.
Dorothy Sayers | Mid-20th-century mystery novelist; creator of aristocratic detective Lord Peter Wimsey.
du Maurier | Surname of 20th-century Gothic novelist Daphne du Maurier, author of Rebecca.
Joe Orton | Mid-20th-century playwright of black comedy; Loot, Entertaining Mr Sloane, murdered by his partner.
John le Carre | Cold War-era spy novelist; The Spy Who Came in from the Cold, creator of intelligence officer George Smiley.
Lucky | Silent, abused servant of Pozzo in Beckett's Waiting for Godot, given one famous frantic monologue.
Major Barbara | George Bernard Shaw's play pitting a Salvation Army officer against her arms-manufacturer father's morality.
Man and Superman | George Bernard Shaw's comedy exploring the Life Force through Jack Tanner's pursuit by Ann Whitefield.
Mitford | Surname of the aristocratic Mitford sisters, including novelist Nancy Mitford (The Pursuit of Love).
Nineteen Eighty-Four | George Orwell's dystopia of Big Brother, Newspeak, and protagonist Winston Smith's doomed rebellion.
O'Brien | Surname shared by comic novelist Flann O'Brien and Irish novelist Edna O'Brien.
Saint Joan | George Bernard Shaw's play dramatizing the trial and execution of Joan of Arc.
Stevie Smith | Mid-20th-century poet best known for "Not Waving but Drowning."
The Entertainer | John Osborne's play centered on failing music-hall performer Archie Rice, an allegory for postwar British decline.
The Mousetrap | Agatha Christie's long-running murder-mystery play, famed for its twist ending audiences are asked not to reveal.
The Power and the Glory | Graham Greene's novel of a fugitive, flawed "whiskey priest" in an anti-Catholic Mexican state.
"Shooting an Elephant" | George Orwell's essay on a colonial officer in Burma forced to kill an elephant to save face before a crowd.
"The Birds" | Daphne du Maurier's story of a Cornish farming community besieged by inexplicably aggressive birds.
A Handful of Dust | Evelyn Waugh's satirical novel ending with its betrayed protagonist trapped reading Dickens aloud in the Amazon.
Ariel | Sylvia Plath's posthumously published poetry collection, edited by her husband Ted Hughes.
At Swim-Two-Birds | Flann O'Brien's metafictional comic novel in which characters rebel against their student-author.
Brighton Rock | Graham Greene's novel of teenage gangster Pinkie Brown's doomed marriage and moral damnation in seaside Brighton.
De Selby | Fictional crackpot philosopher whose theories are footnoted throughout Flann O'Brien's The Third Policeman.
Hercule Poirot | Agatha Christie's fastidious Belgian detective, relying on "the little grey cells."
John Osborne | Angry Young Men playwright; Look Back in Anger introduced the antihero Jimmy Porter.
kitchen sink realism | Postwar dramatic movement depicting working-class domestic life, associated with the Angry Young Men.
Krapp's Last Tape | Samuel Beckett's one-man play in which an old man listens to recordings of his younger self.
Manderley | Grand, haunted Cornish estate at the center of du Maurier's Rebecca.
Miss Jean Brodie | Charismatic, manipulative Edinburgh schoolteacher at the center of Muriel Spark's novel.
Scoop | Evelyn Waugh's satire of foreign-correspondent journalism, following an accidentally hired nature columnist.
T. H. White | Mid-20th-century novelist; The Once and Future King, a retelling of the King Arthur legend.
The Heart of the Matter | Graham Greene's novel of a guilt-ridden colonial policeman torn between duty, adultery, and Catholic faith.
The Road to Wigan Pier | George Orwell's documentary account of poverty among northern English coal miners.
The Sea, The Sea | Iris Murdoch's Booker-winning novel of a retired theater director obsessed with a childhood love.
The Third Policeman | Flann O'Brien's surreal novel of a murderer trapped in an absurd afterlife obsessed with bicycles.
Under the Volcano | Malcolm Lowry's novel of an alcoholic British consul's final day in Mexico on the Day of the Dead.
"The Loneliness of the Long-Distance Runner" = The Loneliness of the Long-Distance Runner | Alan Sillitoe's story of a borstal boy who deliberately loses a race to defy the institution's authority.
"The Whitsun Weddings" | Philip Larkin's poem observing newlywed couples boarding a train, journeying toward London and uncertain futures.
1984 | Numeral title of George Orwell's dystopia of surveillance, Big Brother, and protagonist Winston Smith.
A Kind of Alaska | Harold Pinter's play, inspired by Oliver Sacks's Awakenings, of a woman waking after decades in a sleeping sickness.
Anthony Powell | Novelist of the twelve-volume sequence A Dance to the Music of Time, tracing 20th-century English society.
Cold Comfort Farm | Stella Gibbons's satire of gloomy rural novels, following a practical heroine who "tidies up" a chaotic farm family.
Earthly Powers | Anthony Burgess's sprawling novel narrated by an aging writer looking back over the 20th century.
flipping a coin | Opening activity of Stoppard's Rosencrantz and Guildenstern Are Dead, in which coins improbably land heads dozens of times running.
Frank Raymond Leavis | Influential Cambridge literary critic; championed a "great tradition" of morally serious English novelists.
Hay Fever | Noel Coward's comedy of a theatrical family's chaotic, self-absorbed treatment of their houseguests.
Heartbreak House | George Bernard Shaw's play, styled after Chekhov, satirizing an aimless English leisured class before World War I.
J. G. Ballard | British science-fiction and literary novelist; Empire of the Sun, Crash, known for dystopian and psychological extremity.
Joan | Title figure of George Bernard Shaw's play Saint Joan, dramatizing Joan of Arc's trial and execution.
John James Osborne | Full name of Angry Young Men playwright John Osborne.
John Ronald Reuel Tolkien | Full name of Oxford philologist and fantasy author J. R. R. Tolkien.
Lawrence Durrell | Mid-20th-century novelist; The Alexandria Quartet, a multi-perspective narrative sequence.
Lord of the Flies | William Golding's novel of stranded schoolboys descending into savagery on a deserted island.
Malcolm Lowry | Novelist of Under the Volcano, following an alcoholic British consul's final day in Mexico.
Molloy | First novel of Samuel Beckett's trilogy, narrated by a decaying vagrant searching for his mother.
Murder on the Orient Express | Agatha Christie's mystery in which Hercule Poirot discovers all twelve suspects shared in the killing.
Murphy | Samuel Beckett's first published novel, of an Irishman seeking escape from the world in stillness of mind.
Nadsat | Invented Russian-inflected teen slang narrating Anthony Burgess's A Clockwork Orange.
Noel | First name of English playwright and wit Noel Coward.
Peter Shaffer | Mid-20th-century playwright; Equus, Amadeus, known for exploring obsession and genius.
Philip Arthur Larkin | Full name of Movement poet Philip Larkin.
Pincher Martin | William Golding's novel following a drowning sailor's desperate consciousness clinging to survival on a rock.
Samuel Barclay Beckett | Full name of Irish absurdist playwright and novelist Samuel Beckett.
Saturday Night and Sunday Morning | Alan Sillitoe's Angry Young Men-era novel of a rebellious young factory worker's affairs and defiance.
Shaffer | Surname of playwright Peter Shaffer, author of Equus and Amadeus.
Stevens | Surname of the repressed, dutiful butler narrator of Ishiguro's The Remains of the Day.
The Caretaker | Harold Pinter's play of a manipulative tramp taken in by two brothers in a cluttered London room.
The Girls of Slender Means | Muriel Spark's novel set among young women in a London boardinghouse at the end of World War II.
The Murder of Roger Ackroyd | Agatha Christie's famously twist-ending mystery, narrated by the murderer himself.
The Quiet American | Graham Greene's novel of an idealistic American operative in French Indochina, narrated by a cynical British journalist.
The Real Inspector Hound | Tom Stoppard's play-within-a-play in which two theater critics become entangled in the murder mystery they are reviewing.
The Real Thing | Tom Stoppard's play examining the nature of authentic love through a playwright's shifting relationships.
The Unnamable | Final novel of Samuel Beckett's trilogy, narrated by a voice uncertain of its own identity or existence.
What the Butler Saw | Joe Orton's farce of mistaken identity and sexual chaos in a psychiatric clinic.
William Empson | Mid-20th-century critic and poet; Seven Types of Ambiguity, a foundational work of close reading.
William Gerald Golding | Full name of Lord of the Flies author William Golding.
William Golding | Nobel laureate novelist; Lord of the Flies, on stranded schoolboys descending into savagery.

# Contemporary & Postcolonial Literature
> Living and recent authors addressing empire's aftermath, migration, and memory from the late twentieth century onward.
Seamus Heaney | Irish Nobel Prize-winning poet; "Digging," "Blackberry-Picking"; translated Beowulf into modern English.
Kazuo Ishiguro | Japanese-British Nobel laureate; The Remains of the Day, Never Let Me Go, Klara and the Sun.
Zadie Smith | British novelist of multicultural London; White Teeth, On Beauty, NW.
Angela Carter | British magical-realist and feminist writer; The Bloody Chamber reimagines fairy tales; Nights at the Circus.
Hilary Mantel | Historical novelist of the Wolf Hall trilogy about Thomas Cromwell; two-time Booker Prize winner.
Ian McEwan | Contemporary British novelist; Atonement, The Cement Garden; known for precise, unsettling prose.
Carol Ann Duffy | Scottish poet, first woman UK Poet Laureate (2009-2019); feminist revisionist collection The World's Wife.
Margaret Atwood | Canadian novelist and poet; The Handmaid's Tale, dystopian and feminist fiction.
White Teeth | Zadie Smith's debut novel of multi-generational, multicultural London families.
Michael Frayn | Contemporary playwright and novelist; backstage farce Noises Off, historical drama Copenhagen.
Atonement | Ian McEwan's novel in which young Briony's false accusation destroys the lovers Cecilia and Robbie.
Jean Rhys | Caribbean-British novelist; Wide Sargasso Sea, a postcolonial prequel imagining Jane Eyre's "madwoman" Bertha.
Caryl Churchill | Contemporary feminist playwright; Top Girls, Cloud Nine, known for formal experimentation.
Never Let Me Go | Kazuo Ishiguro's novel gradually revealing that its boarding-school narrators are clones raised for organ donation.
The Remains of the Day | Kazuo Ishiguro's novel narrated by the repressed butler Stevens, reflecting on duty and a lost chance at love.
Wendy Cope | Contemporary poet known for witty, accessible light verse, including parodies of other poets.
Julian Barnes | Contemporary novelist; The Sense of an Ending, Booker Prize winner, known for memory and unreliable narration.
"The Bloody Chamber" | Angela Carter's feminist reimagining of the Bluebeard fairy tale, title story of her 1979 collection.
Booker Prize | Britain's premier fiction award, won by Ishiguro, Rushdie, Mantel, and other contemporary novelists.
Martin Amis | Contemporary novelist known for satirical, stylistically dense fiction; Money, Time's Arrow; son of Kingsley Amis.
The French Lieutenant's Woman | John Fowles's postmodern historical novel offering multiple endings for a mysterious Victorian outcast woman.
The Sense of an Ending | Julian Barnes's Booker-winning novel of an unreliable narrator revisiting a friend's suicide decades later.
David Lodge | Contemporary novelist of comic campus fiction; Changing Places, Small World.
